setup_id,run_id,seed,density,desired_similarity,n_traits,trait_choices,final_diversity,final_satisfied,steps
0,0,0,0.1,0.1,3,3,17,100.0,30
0,1,1,0.1,0.1,3,3,14,100.0,25
0,2,2,0.1,0.1,3,3,20,100.0,19
0,3,3,0.1,0.1,3,3,18,100.0,43
0,4,4,0.1,0.1,3,3,20,100.0,20
1,0,1000,0.1,0.1,3,5,25,100.0,20
1,1,1001,0.1,0.1,3,5,28,100.0,20
1,2,1002,0.1,0.1,3,5,23,100.0,20
1,3,1003,0.1,0.1,3,5,20,100.0,79
1,4,1004,0.1,0.1,3,5,26,100.0,17
2,0,2000,0.1,0.1,3,7,26,100.0,25
2,1,2001,0.1,0.1,3,7,24,100.0,32
2,2,2002,0.1,0.1,3,7,30,100.0,56
2,3,2003,0.1,0.1,3,7,31,100.0,28
2,4,2004,0.1,0.1,3,7,25,100.0,24
3,1,3001,0.1,0.1,3,10,29,100.0,31
3,2,3002,0.1,0.1,3,10,22,100.0,54
3,3,3003,0.1,0.1,3,10,29,100.0,43
3,0,3000,0.1,0.1,3,10,28,100.0,115
3,4,3004,0.1,0.1,3,10,31,100.0,64
4,0,4000,0.1,0.1,3,15,28,100.0,67
4,2,4002,0.1,0.1,3,15,35,100.0,38
4,1,4001,0.1,0.1,3,15,27,100.0,82
4,3,4003,0.1,0.1,3,15,35,100.0,32
5,1,5001,0.1,0.1,5,3,20,100.0,18
5,2,5002,0.1,0.1,5,3,28,100.0,21
5,0,5000,0.1,0.1,5,3,16,100.0,52
5,3,5003,0.1,0.1,5,3,21,100.0,17
4,4,4004,0.1,0.1,3,15,33,100.0,92
5,4,5004,0.1,0.1,5,3,24,100.0,30
6,0,6000,0.1,0.1,5,5,25,100.0,47
6,3,6003,0.1,0.1,5,5,27,100.0,23
7,0,7000,0.1,0.1,5,7,29,100.0,27
6,4,6004,0.1,0.1,5,5,22,100.0,38
7,4,7004,0.1,0.1,5,7,31,100.0,21
7,2,7002,0.1,0.1,5,7,29,100.0,32
8,2,8002,0.1,0.1,5,10,30,100.0,25
8,0,8000,0.1,0.1,5,10,28,100.0,55
8,1,8001,0.1,0.1,5,10,26,100.0,24
7,3,7003,0.1,0.1,5,7,25,100.0,65
8,4,8004,0.1,0.1,5,10,28,100.0,37
9,0,9000,0.1,0.1,5,15,32,100.0,44
6,2,6002,0.1,0.1,5,5,28,100.0,37
9,1,9001,0.1,0.1,5,15,31,100.0,36
6,1,6001,0.1,0.1,5,5,23,100.0,52
10,0,10000,0.1,0.1,7,3,29,100.0,22
9,2,9002,0.1,0.1,5,15,28,100.0,47
10,2,10002,0.1,0.1,7,3,24,100.0,24
10,4,10004,0.1,0.1,7,3,25,100.0,40
11,0,11000,0.1,0.1,7,5,22,100.0,43
9,4,9004,0.1,0.1,5,15,28,100.0,58
11,1,11001,0.1,0.1,7,5,23,100.0,50
9,3,9003,0.1,0.1,5,15,23,100.0,52
8,3,8003,0.1,0.1,5,10,23,100.0,56
12,0,12000,0.1,0.1,7,7,30,100.0,19
10,3,10003,0.1,0.1,7,3,23,100.0,24
7,1,7001,0.1,0.1,5,7,31,100.0,42
11,2,11002,0.1,0.1,7,5,25,100.0,39
12,1,12001,0.1,0.1,7,7,34,100.0,24
10,1,10001,0.1,0.1,7,3,25,100.0,96
11,4,11004,0.1,0.1,7,5,25,100.0,37
13,2,13002,0.1,0.1,7,10,23,100.0,32
13,1,13001,0.1,0.1,7,10,24,100.0,36
13,4,13004,0.1,0.1,7,10,29,100.0,23
14,1,14001,0.1,0.1,7,15,28,100.0,34
13,3,13003,0.1,0.1,7,10,28,100.0,39
14,0,14000,0.1,0.1,7,15,27,100.0,68
15,0,15000,0.1,0.1,10,3,24,100.0,25
12,4,12004,0.1,0.1,7,7,26,100.0,36
11,3,11003,0.1,0.1,7,5,27,100.0,36
15,1,15001,0.1,0.1,10,3,26,100.0,38
15,2,15002,0.1,0.1,10,3,23,100.0,40
12,2,12002,0.1,0.1,7,7,27,100.0,129
15,4,15004,0.1,0.1,10,3,26,100.0,33
14,2,14002,0.1,0.1,7,15,25,100.0,55
13,0,13000,0.1,0.1,7,10,26,100.0,35
15,3,15003,0.1,0.1,10,3,24,100.0,77
16,2,16002,0.1,0.1,10,5,20,100.0,50
17,0,17000,0.1,0.1,10,7,25,100.0,47
14,4,14004,0.1,0.1,7,15,26,100.0,47
16,4,16004,0.1,0.1,10,5,26,100.0,62
17,4,17004,0.1,0.1,10,7,27,100.0,48
12,3,12003,0.1,0.1,7,7,23,100.0,126
17,2,17002,0.1,0.1,10,7,26,100.0,49
17,3,17003,0.1,0.1,10,7,23,100.0,82
16,0,16000,0.1,0.1,10,5,25,100.0,80
18,0,18000,0.1,0.1,10,10,24,100.0,48
18,1,18001,0.1,0.1,10,10,22,100.0,47
17,1,17001,0.1,0.1,10,7,28,100.0,47
14,3,14003,0.1,0.1,7,15,29,100.0,42
18,3,18003,0.1,0.1,10,10,25,100.0,61
18,4,18004,0.1,0.1,10,10,32,100.0,35
16,3,16003,0.1,0.1,10,5,25,100.0,105
19,1,19001,0.1,0.1,10,15,28,100.0,59
19,0,19000,0.1,0.1,10,15,21,100.0,94
20,3,20003,0.1,0.1,15,3,25,100.0,46
19,3,19003,0.1,0.1,10,15,30,100.0,65
